rank,handler,call_name,registered_name,size,country,mu,sigma,displayed_rating,tier,provisional,num_runs,last_competition
789,Susan Paulsen,,Notion's A New Magic,Small,USA,22.3097,5.5041,1231.9,Competitor,true,8,Midsummer Dog Sports Festival 2025
790,Prinz Hannah,Dali,,Small,AUT,24.0951,6.1004,1231.7,Competitor,true,6,Austrian Agility Open 2025
791,Cereda Elena,,Sally Brown della,Small,ITA,21.4831,5.2405,1230.5,Competitor,true,9,Prague Agility Party 2024
792,valentina Francini,Oliver,,Small,ITA,24.0912,6.1137,1230.0,Competitor,true,6,ProsecCup 2024
793,Meiri Soon,Mimi,,Small,EST,24.1154,6.1229,1229.9,Competitor,true,6,"Polish Open 2024 (XS, S & M)"
794,Reisenhofer Lisa,Nike,,Small,,25.0754,6.4424,1229.9,Competitor,true,5,Austrian Agility Open 2025
795,Bronagh Walsh,Zeus,Fearnach God Of Thunder,Small,IRL,24.0733,6.1136,1229.3,Competitor,true,6,AWC 2024
796,Elita Umbraško,Sinda,,Small,LVA,24.0486,6.1101,1228.7,Competitor,true,6,"Polish Open SOFT 2025 (XS, S & M)"
797,Pernille Anna Knudsen,Peter,Gårdbanditten Tarjai af Isfolket,Small,DNK,24.0724,6.1222,1228.2,Competitor,true,6,AWC 2024
798,David Molina Gimeno,007,L'Almozara Cero Cero Siete My Name Is Set,Small,ESP,24.047,6.117,1227.8,Competitor,true,6,AWC 2025
799,Reihs Martina,Mina,,Small,,25.0161,6.4424,1227.6,Competitor,true,5,Austrian Agility Open 2025
